Occupation,Description,Category,Support Value
Advisor,"Provides insight. Eg. Royal, Military, Economic, etc.",Governmental,
Dentist,Someone specialized in dental care. Very crude by modern standards.,Healthcare,
Healer,A healthcare professional specialized in providing medical treatment.,Healthcare,1700
Midwife,A healthcare professional specialized in assisting women during childbirth.,Healthcare,
Nurse,A healthcare professional that provides general care to patients.,Healthcare,
Surgeon,A healthcare professional specializing in surgery.,Healthcare,
Wet Nurse,A servant that provides milk to newborn children.,Healthcare,
Sailor,A journeyman specialized in the operations of a ship.,Journeyman,
Detective,An investigator of crimes.,Law Enforcement,
Guard (Local),A local law enforcement officer responsible for maintaining order and safety.,Law Enforcement,
Alcohol Seller,A merchant specialized in alcohols.,Merchant,900
Book Seller,A merchant specialized in selling books.,Merchant,6300
Chandler,"A merchant specialized in household items such as soaps, oil, or paint",Merchant,700
Cutlers,Someone who makes or sells cutlery,Merchant,2300
Florist,A merchant specialized in the sale of flowers.,Merchant,
Hay Seller,A merchant specialized in selling hay.,Merchant,2300
Mercer,A merchant specialized in textiles.,Merchant,700
Slave Trader,A merchant specialized in the sale of slaves.,Merchant,
Spice Merchant,A merchant specialized in spices and seasonings,Merchant,1400
Wood Seller,A merchant specialized in selling unprocessed timber.,Merchant,2400
Adventurer,A member of the adventurers guild.,Miscellaneous,
Inventor,"Someone who creates and develops new ideas, inventions, or technologies.",Miscellaneous,
Mage,A practitioner of magic and spellcasting.,Miscellaneous,
Diplomat,A foreign citizen with the authority to represent their home country in political matters.,Politics,
Farmer,Someone who grows crops.,Producer,
Logger,Someone who cuts down trees and prepares them for transport.,Producer,
Miner,Someone who extracts valuable minerals or other geological materials from the earth.,Producer,
Trapper,Traps animals,Producer,
Baker,Someone specialized in the production of breads.,Production,800
Fisherman,Someone specialized in the catching of aquatic creatures.,Production,1200
Clergy,A member of a religious organization.,Religious,
Professor,An educator specialized in higher learning.,Scholar,
Tutor,An educator specializing in child.,Scholar,
Theologian,One who studies religion.,Scholar,
Scrivener,A scribe.,Scholar,
Librarian,One who manages a library.,Scholar,
Mathematician,One who studies mathematics.,Scholar,
Dean,A senior administrator of a learning institution.,Scholar,
Alchemist,One who studies chemicals and potion making with mana.,Scholar,
Manalogist,One who studies mana and its applications.,Scholar,
Crystaloger,One who studies the great crystal,Scholar,
Scholar,A generic name for one who learns as a profession.,Scholar,
Barber,Someone specialized in cutting hair.,Service,350
Barkeeper,Generally the owner of the bar or inn,Service,400
Carriage Driver,Someone specialized in driving and managing carriages.,Service,
Innkeeper,The owner or manager of an inn.,Service,2000
Maid,A female domestic servant specialized in housekeeping.,Service,
Master of Ceremonies,An individual responsible for organizing and conducting formal events.,Service,
Prostitute,Someone that provides sex for a price.,Service,
Servant,Someone that provides generalized service to an employer. Housekeeping.,Service,250
Undertaker/Mortician,Someone specialized in the handling and ceremonies of deceased people.,Service,
