Surname Unicode,Surname Ascii,Gender,Origin,Meaning(s),Tag(s)
Dobry,dobry,Male,Polish,Good,#Literary|#Surname
Doherty,doherty,Male,Irish,Destroyer In Battle,#Celebrity|#Surname
Dominguez,dominguez,Male,Spanish,Son Of Domingo,#Surname
Donahue,donahue,Male,Irish,Brown-haired Chieftain,#Celebrity|#Surname
Donnan,donnan,Male,Irish,Brown,#Sports|#Surname
Donnigan,donnigan,Male,Irish,From The Family Of The Brown One,#Surname
Donovan,donovan,Male,Irish,Little Brown One,#Color|#Surname
Dorsey,dorsey,Neutral,English,From Orsay In France,#Surname
Douglas,douglas,Male,Scottish,Black Blue,#Surname
Doyle,doyle,Male,Irish,Dark Foreigner,#Literary|#Place|#Politician|#Surname
Dragomir,dragomir,Male,Slavic,Precious Peace,#Surname
Drake,drake,Male,English,Dragon,#Celebrity|#Nature|#Surname
Draper,draper,Male,French,Cloth Maker Or Seller,#FictionalCharacter|#Occupational|#Surname
Druce,druce,Male,English,From Dreux|France,#Place|#Sports|#Surname
Drucilla,drucilla,Female,Italian,Mighty|Strong,#Biblical|#Surname
Drummer,drummer,Neutral,English,One Who Drums,#Occupational|#Surname
Drury,drury,Neutral,English,Love|Friendship,#Surname
Duarte,duarte,Male,Portuguese,Wealthy Guardian,#Place|#Surname
Dubois,dubois,Male,French,Woodcutter,#Literary|#Surname
Duff,duff,Neutral,Irish,Dark,#Celebrity|#Surname
Duffy,duffy,Neutral,Irish,Descendant Of Dubhthach,#Surname
Duka,duka,Male,African,All,#Place|#Sports|#Surname
Dumaresq,dumaresq,Male,French,From The Marsh Land,#Surname
Duncan,duncan,Male,Scottish,Dark Skinned Warrior,#Surname
Dunn,dunn,Male,English,Brown,#Surname
Durable,durable,Neutral,English,Lasting,#Surname
Duran,duran,Neutral,English,Durable|Hard,#Musical|#Surname
Durand,durand,Male,French,Strong|Enduring,#Celebrity|#Place|#Surname
Durham,durham,Neutral,English,By The Hill,#Surname
Dustin,dustin,Male,English,Thor's Stone,#Celebrity|#Surname
Dwight,dwight,Male,English,Devotee Of Dionysos,#FictionalCharacter|#Politician|#Surname
Dyer,dyer,Neutral,English,Cloth Dyer,#Surname
Dylan,dylan,Neutral,Welsh,Toward The Tide,#Celebrity|#Surname|#Water
Eastwood,eastwood,Male,English,From The Woods Of The East,#Celebrity|#Surname
Eaton,eaton,Neutral,English,River Enclosure,#Surname|#Water
Efrem,efrem,Male,Hebrew,Very Fruitful,#Sports|#Surname
Elden,elden,Male,English,The Old Servant,#Surname
Eldon,eldon,Male,English,The Old Servant,#Place|#Surname
Elia,elia,Female,Italian,Form Of Elijah,#Sports|#Surname
Ellery,ellery,Neutral,English,Cheerful,#Literary|#Politician|#Surname
Elliott,elliott,Male,English,The Lord Is My God,#Biblical|#FictionalCharacter|#Literary|#Surname
Ellis,ellis,Neutral,English,The Lord Is My God,#Celebrity|#Place|#Science|#Surname
Ellison,ellison,Male,English,Son Of Elias/Elijah,#Literary|#Surname
Elton,elton,Male,English,The Old Town,#Celebrity|#Surname
Elvin,elvin,Male,English,Elf Friend,#Surname
Elvis,elvis,Male,Scandinavian,All Wise,#Celebrity|#Surname
Elwyn,elwyn,Neutral,Welsh,Elf-friend,#Place|#Surname
Embry,embry,Neutral,English,Work Rule,#Celebrity|#Sports|#Surname
Emerson,emerson,Neutral,English,Son Of Emery,#Literary|#Surname
Emery,emery,Male,English,Work Ruler,#Place|#Surname
Emmet,emmet,Male,English,Entire,#Place|#Surname
Emmett,emmett,Male,English,Entire,#FictionalCharacter|#Literary|#Place|#Surname
Emory,emory,Male,English,Work Rule,#Surname
Engel,engel,Neutral,Dutch,English Or Angel,#Politician|#Surname
English,english,Neutral,English,From England,#Surname
Enjolras,enjolras,Neutral,Spanish,To Terrify,#FictionalCharacter|#Literary|#Surname
Ennio,ennio,Male,Italian,Of The Family Ennius,#Surname
Ennis,ennis,Neutral,Irish,Descendant Of Angus Or Island,#Place|#Surname
Enriquez,enriquez,Neutral,Spanish,Son Of Enrique,#Surname
Erickson,erickson,Neutral,Scandinavian,Son Of Eric,#Surname
Ermen,ermen,Male,German,Universal|Whole,#Politician|#Sports|#Surname
Ervin,ervin,Male,English,Person From Irvine|Scotland,#Politician|#Surname
Escobar,escobar,Neutral,Spanish,Overgrown With Bush,#Surname
Esparza,esparza,Neutral,Spanish,Swordsman|Soldier,#Surname
Espinoza,espinoza,Neutral,Spanish,From The Thorny Place,#Surname
Essery,essery,Neutral,English,Cart Maker,#Surname
Estienne,estienne,Male,French,Crown,#Surname
Estrada,estrada,Neutral,Spanish,Street|Way,#Surname
Evans,evans,Neutral,English,God Is Good,#Surname
Evelyn,evelyn,Female,English,Desired/Beautiful,#FictionalCharacter|#Surname
Everard,everard,Male,English,Brave Boar,#Surname
Everest,everest,Neutral,English,Dweller On The Eure River,#Place|#Surname|#Water
Everett,everett,Male,English,Wild Boar Herd,#FictionalCharacter|#Place|#Surname
Evert,evert,Neutral,English,Wild Boar Herd,#Sports|#Surname
Ezell,ezell,Male,American,Noble,#Surname
Fairfax,fairfax,Male,English,Fair Haired,#Place|#Surname
Fairly,fairly,Neutral,English,From The Clearing Overgrown With Ferns,#Surname
Fallon,fallon,Neutral,Irish,Of A Ruling Family,#Celebrity|#Place|#Surname
Fargo,fargo,Neutral,Spanish,From The Fenced Pasture,#FictionalCharacter|#Place|#Surname
Faris,faris,Male,Arabic,Horseman/Knight,#Celebrity|#Surname
Farley,farley,Neutral,English,From The Fern-Covered Clearing,#Celebrity|#Surname
Farmer,farmer,Neutral,English,One Who Farms,#Celebrity|#Occupational|#Surname
Faron,faron,Female,French,Journey,#Surname
Farrah,farrah,Neutral,English,Ironsmith,#Celebrity|#Surname
Faulkner,faulkner,Neutral,English,Falconer,#Literary|#Occupational|#Surname
Fawkes,fawkes,Neutral,French,Valley,#Surname
Felix,felix,Male,Latin,Happy And Prosperous,#Biblical|#FictionalCharacter|#Surname
Fell,fell,Male,English,Dweller On The Mountain,#Nature|#Surname
Fellini,fellini,Neutral,Italian,Furrier,#Celebrity|#Surname
Fendi,fendi,Neutral,Italian,To Split,#Brand|#Surname
Fenmore,fenmore,Neutral,English,Dear Love/Fen Moor,#Surname
Fenton,fenton,Male,English,Marsh Town,#Surname
Fergie,fergie,Neutral,English,Strength Of Man,#Celebrity|#Royal|#Surname
Ferguson,ferguson,Male,English,Son Of Fergus,#Place|#Surname
Fernandez,fernandez,Male,Spanish,Son Of Fernando,#Surname
Ferris,ferris,Male,English,From Ferrieres|France,#FictionalCharacter|#Surname
Fews,fews,Neutral,Irish,The Woods|Forest,#Nature|#Place|#Surname
Fielding,fielding,Male,English,From The Field,#Literary|#Surname
Fields,fields,Neutral,English,Lives In Or Near The Clearing,#Surname
Fifer,fifer,Neutral,English,Flute Player,#Occupational|#Surname
Figueroa,figueroa,Neutral,Spanish,Lives Near The Fig Tree,#Surname
Fini,fini,Female,French,Diminutive Form Of Josephine,#Politician|#Surname
Finley,finley,Neutral,Scottish,Fair Warrior/Hero,#Surname
Fisher,fisher,Male,English,Fisherman,#Occupational|#Surname
Fitzgerald,fitzgerald,Male,Irish,Son Of Gerald,#Celebrity|#Literary|#Surname
Flanders,flanders,Male,English,Filled With Water,#Place|#Surname|#Water
Fleming,fleming,Male,French,Flemish Person Or From Flanders|Belgium,#Surname
Fletcher,fletcher,Male,English,Arrow Maker/Folk Army,#Occupational|#Surname
Flores,flores,Neutral,Spanish,Son Of Floro,#Surname
Flynn,flynn,Neutral,Irish,Descendant Of The Red-haired Man,#Literary|#Surname
Foley,foley,Female,Irish,Descendant Of The Pirate,#Surname
Fonda,fonda,Neutral,Spanish,Foundation,#Celebrity|#Surname
Ford,ford,Male,English,River Crossing,#Brand|#Politician|#Surname|#Water
Foreman,foreman,Male,German,Cart Worker,#Sports|#Surname
Forster,forster,Male,English,From The Name Forester,#Celebrity|#Literary|#Place|#Surname
Foster,foster,Male,English,Forest Worker,#Occupational|#Surname
Fox,fox,Male,English,Wild Animal In Dog Family,#FictionalCharacter|#Surname
Foy,foy,Male,French,Faith,#Place|#Surname
Fraley,fraley,Male,English,Friar,#Sports|#Surname
Francis,francis,Male,Latin,From France Or Free,#Surname
Franco,franco,Male,Spanish,Free,#Celebrity|#Politician|#Surname
Frank,frank,Male,English,Free Or From France,#Celebrity|#Surname
Franklin,franklin,Male,English,Free Man,#Politician|#Surname
Fraser,fraser,Male,Scottish,Unknown,#Place|#Surname
Frasier,frasier,Male,Scottish,Unknown,#FictionalCharacter|#Surname
Frayne,frayne,Male,English,Dweller By An Ash Tree,#Surname
Frazer,frazer,Neutral,Scottish,Unknown,#Surname
Frazier,frazier,Male,Scottish,Strawberry Field,#Place|#Surname
Frederick,frederick,Male,English,Peaceful Ruler,#Place|#Surname
Freed,freed,Male,English,Wood|Woodland,#Surname
Freeman,freeman,Male,English,Free Man,#Celebrity|#Surname
French,french,Neutral,American,From France,#Place|#Surname
Frey,frey,Male,Scandinavian,God Of Weather,#Literary|#Surname
Frick,frick,Male,English,Brisk|Vigorous,#Place|#Surname
Frith,frith,Neutral,English,Inlet Of The Sea,#Surname
Frost,frost,Neutral,English,The Freezing Of Water,#Literary|#Nature|#Surname|#Water
Frye,frye,Male,English,Free,#Surname
Fuentes,fuentes,Neutral,Spanish,Founts|Fountains,#Surname
Fuller,fuller,Male,English,Cloth Bleacher,#Surname
Gable,gable,Neutral,German,God Is Bright,#Celebrity|#Surname
Gabouray,gabouray,Female,French,One Who Jokes|Teases,#Celebrity|#Surname
Gage,gage,Male,English,Measurer,#Occupational|#Surname
Gainell,gainell,Neutral,American,Happy|Shiny,#Surname
Gaines,gaines,Neutral,English,Clever One,#Surname
Gale,gale,Neutral,English,Pleasant|Merry,#Literary|#Surname
Gallagher,gallagher,Male,Irish,Descendant Of The Lover Of Foreigners,#Celebrity|#Surname
Gallegos,gallegos,Neutral,Spanish,Foreigners From Galicia|Spain,#Place|#Surname
Galvan,galvan,Neutral,English,Bald Or Receding Hairline,#Surname
Galvin,galvin,Male,Irish,Sparrow,#Politician|#Surname
Gannon,gannon,Male,Irish,Son Of The Fair-haired One,#Sports|#Surname
Garcia,garcia,Male,Spanish,Young Or Young Bear,#Celebrity|#Musical|#Surname
Gardner,gardner,Male,English,Gardener,#Occupational|#Surname
Garfunkel,garfunkel,Male,German,Precious Stone|Garnet|Brilliant,#Musical|#Surname
Garland,garland,Neutral,English,Wreath Of Flowers Or Leaves,#Celebrity|#Place|#Surname
Garner,garner,Neutral,English,Gardener,#Occupational|#Surname
Garnet,garnet,Female,English,A Red Semi-precious Gem,#Nature|#Surname
Garrett,garrett,Male,English,Spear Rule,#Surname
Garrick,garrick,Male,English,From A Place Covered By Oaks,#Surname
Garrison,garrison,Male,English,Son Of Gerard/Gerald.,#Surname
Garth,garth,Male,English,Garden Keeper,#Celebrity|#Surname
Garza,garza,Neutral,Spanish,The Heron Bird.,#Surname
Gates,gates,Male,English,Dweller By The Gates,#Celebrity|#Surname
Gatland,gatland,Male,English,Dweller In The Land By The Gate,#Sports|#Surname
Gatlin,gatlin,Neutral,English,Fellow|Companion,#Celebrity|#Sports|#Surname
Gauthier,gauthier,Male,French,Army Ruler,#Surname
Gavan,gavan,Male,Irish,Unknown,#Surname
Gaylord,gaylord,Male,English,Lively|Brisk,#Surname
Gaynor,gaynor,Female,Welsh,Fair Phantom,#Celebrity|#Surname
Gentry,gentry,Neutral,English,Nobility Of Birth,#Surname
George,george,Male,Greek,Farmer,#Celebrity|#Politician|#Royal|#Science|#Surname
Gervais,gervais,Male,French,Spearman,#Celebrity|#Place|#Surname
Gibbs,gibbs,Neutral,English,Family Of Gilbert,#Surname
Gibson,gibson,Male,English,Son Of Gilbert,#Brand|#Surname
Gilbert,gilbert,Male,English,Bright Pledge,#Celebrity|#Place|#Surname
Gill,gill,Male,English,Short For Gilbert Or William.,#Surname
Gillespie,gillespie,Male,Scottish,Son Of The Bishop's Servant,#Place|#Surname
Gilligan,gilligan,Male,Irish,Lad|Boy,#FictionalCharacter|#Surname
Gillis,gillis,Male,Dutch,Young Goat,#Literary|#Surname
Gilmore,gilmore,Male,Irish,Servant Of The Virgin Mary,#Place|#Surname
Glass,glass,Neutral,English,Glass Blower,#Surname
Glenn,glenn,Neutral,Scottish,From The Wooded Valley,#Celebrity|#Nature|#Surname
Glover,glover,Neutral,English,Glove Maker Or Merchant,#Celebrity|#Surname
Godana,godana,Male,African,Male Child,#Politician|#Surname
Golden,golden,Neutral,English,Made Of Gold Or Gold-Colored,#Surname
Gomez,gomez,Male,Spanish,Man,#FictionalCharacter|#Surname
Gonzales,gonzales,Male,Spanish,Son Of Gonzalo,#Surname
Gonzalez,gonzalez,Male,Spanish,Son Of Gonzalo,#Surname
Goodman,goodman,Neutral,English,Man Of God Or Landowner,#Surname
Goodwin,goodwin,Neutral,English,Good Friend,#Surname
Gordon,gordon,Male,English,Spacious Fort,#Celebrity|#Place|#Surname
Gotzon,gotzon,Neutral,Basque,Angel,#Celebrity|#Surname
Gradin,gradin,Male,American,Of High Rank,#Place|#Sports|#Surname
Graham,graham,Male,English,From The Gravelly Homestead,#Celebrity|#Place|#Politician|#Surname
Granger,granger,Male,English,Farmer,#Occupational|#Place|#Surname
Grant,grant,Male,English,Large|Great,#Politician|#Surname
Graves,graves,Neutral,English,Steward,#Occupational|#Surname
Gray,gray,Male,English,Color: Black Mixed With White,#Color|#Surname
Grayer,grayer,Male,American,The Color Gray,#Color|#Sports|#Surname
Grayson,grayson,Male,English,Son Of The Grey-Haired One,#FictionalCharacter|#Surname
Greco,greco,Male,Italian,From The Country Of Greece,#Surname
Green,green,Neutral,English,Lives Near The Village Green,#Color|#Nature|#Surname
Greer,greer,Neutral,Scottish,Watchful|Guardian,#Literary|#Place|#Surname
Gregory,gregory,Male,Greek,Vigilant|Watchful,#Surname
Gregson,gregson,Male,English,Son Of Gregory,#Surname
Grenier,grenier,Male,French,Grainery Keeper,#Celebrity|#Surname
Gresham,gresham,Male,English,Grazing Homestead,#Place|#Surname
Greydon,greydon,Male,English,Gray-Haired Man,#Surname
Greyson,greyson,Male,English,Son Of The Grey-haired Man,#Celebrity|#FictionalCharacter|#Surname
Griffin,griffin,Male,Welsh,A Fabled Monster,#Celebrity|#Surname
Griffith,griffith,Male,Welsh,Griffin Lord,#Place|#Science|#Surname
Griffon,griffon,Neutral,English,Dog Breed|Vulture|Dragon,#FictionalCharacter|#Surname
Grimes,grimes,Neutral,Scandinavian,Masked Person|Fierce,#Surname
Gruffudd,gruffudd,Male,Welsh,Griffin Lord,#Celebrity|#Surname
Guerra,guerra,Neutral,Spanish,War|Soldier,#Surname
Guerrero,guerrero,Male,Spanish,Soldier|Warrior,#Surname
Guevara,guevara,Neutral,Spanish,Prominent,#Surname
Gulliver,gulliver,Male,English,Glutton,#Literary|#Surname
Guthrie,guthrie,Male,Scottish,From The Windy Place,#Celebrity|#Place|#Surname
Gutierrez,gutierrez,Male,Spanish,Son Of Gutierre,#Surname
Guzman,guzman,Male,Spanish,Good Man,#Celebrity|#Surname
Gyan,gyan,Male,Indian,Knowledge,#Sports|#Surname
Hachiro,hachiro,Male,Japanese,Eighth Son,#Politician|#Surname
Hadley,hadley,Neutral,English,From Hadda's Field,#Place|#Politician|#Surname
Hagan,hagan,Male,English,Protector,#Politician|#Surname
Hahn,hahn,Neutral,German,Rooster,#Surname
Haig,haig,Male,English,Enclosure,#Surname
Hale,hale,Neutral,English,From The Remote Valley,#Surname
Hall,hall,Male,English,From The Manor,#Surname
Halston,halston,Neutral,English,Holy Stone,#Place|#Surname
Hamilton,hamilton,Neutral,English,From Hamela's Settlement,#Place|#Politician|#Surname
Hamlet,hamlet,Male,English,Little Home,#FictionalCharacter|#Literary|#Surname
Hamlin,hamlin,Male,English,Home,#Place|#Politician|#Sports|#Surname
Hammond,hammond,Male,English,High Protection,#Place|#Surname
Hampton,hampton,Male,English,From The Village By The Town,#Place|#Surname
Hancock,hancock,Neutral,English,Son Of John,#Surname
Hanh,hanh,Female,Vietnamese,Apricot Tree|Happiness,#Literary|#Surname
Hanson,hanson,Male,Scandinavian,Son Of Hans,#Celebrity|#Surname
Harding,harding,Neutral,English,Hard-Working|Strong,#Surname
Hardy,hardy,Male,English,Courageous|Strong,#Celebrity|#Literary|#Surname
Harlan,harlan,Neutral,English,Dweller By The Boundary Wood,#Place|#Surname
Harlow,harlow,Neutral,English,From The Rocky Hill,#Celebrity|#Place|#Surname
Harmon,harmon,Male,German,Soldier|Army Man,#Celebrity|#Sports|#Surname
Harper,harper,Neutral,English,Harp Player,#FictionalCharacter|#Literary|#Musical|#Occupational|#Surname
Harrell,harrell,Neutral,English,Good Head Of Hair,#Surname
Harrington,harrington,Neutral,English,From The Stony Ground,#Surname
Harris,harris,Male,English,Son Of Harry,#Surname
Harrison,harrison,Male,English,Son Of Harry,#Celebrity|#Place|#Surname
Hart,hart,Male,English,Male Deer Or Stag,#Nature|#Surname
Hartman,hartman,Male,Scandinavian,Hardy|Strong,#Surname
Harvey,harvey,Male,English,Battle Warrior,#Surname
Haviland,haviland,Neutral,English,From Haverland,#Place|#Surname
Hawking,hawking,Neutral,English,Hawk-Like,#Occupational|#Science|#Surname
Hawkins,hawkins,Neutral,English,Works With Hawks,#Nature|#Surname
Hawthorn,hawthorn,Neutral,English,Lives Near A Hedge,#Surname
Haydn,haydn,Male,German,Heathen,#Surname
Hayes,hayes,Neutral,English,Lives By The Forest/Brush,#Politician|#Surname
Haynes,haynes,Neutral,English,Enclosure,#Surname
Hazen,hazen,Neutral,Dutch,Smooth|Beautiful,#Surname
Heath,heath,Male,English,Land Of Heather And Grass,#Celebrity|#Place|#Surname
Heisman,heisman,Male,German,Gift Of God,#Sports|#Surname
Heller,heller,Male,English,Dweller On The Hill,#Literary|#Politician|#Surname
Henderson,henderson,Male,English,Son Of Henry/Hendrick,#Surname
Hendricks,hendricks,Neutral,English,Family Of Hendrick/Heinrich,#Surname
Hendrix,hendrix,Male,English,Son Of Hendrick,#Celebrity|#Musical|#Surname
Hennessy,hennessy,Neutral,Irish,One Strength|Energy,#Brand|#Surname
Henry,henry,Male,German,Ruler Of The Home,#FictionalCharacter|#Royal|#Sports|#Surname
Hensley,hensley,Neutral,English,Woody Clearing,#Surname
Henson,henson,Male,English,Son Of Henry,#Surname
Herbert,herbert,Male,English,Army Bright,#Literary|#Politician|#Surname
Herman,herman,Male,German,Army Man,#Surname
Hernandez,hernandez,Male,Spanish,Son Of Hernando,#Surname
Herrera,herrera,Neutral,Spanish,Iron Worker,#Brand|#Surname
Hess,hess,Neutral,German,Hooded,#Surname
Hewitt,hewitt,Male,English,From The Cutting,#Celebrity|#Place|#Surname
Hicks,hicks,Male,English,Family Of Richard,#Surname
Hickson,hickson,Male,American,Countryman,#Surname
Higgins,higgins,Neutral,English,Descendant Of Uigin,#Surname
Hill,hill,Neutral,English,Lives On Or Near A Hill,#Surname
Hilliard,hilliard,Neutral,English,War Stronghold,#Place|#Surname
Hines,hines,Neutral,English,Deer Keeper,#Occupational|#Surname
Hobbes,hobbes,Male,English,Family Of Hob/Robert,#Surname
Hodge,hodge,Male,English,Famous Spear,#Surname
Hodges,hodges,Neutral,English,Family Of Roger,#Surname
Hoffman,hoffman,Male,German,Property Manager,#Surname
Hogan,hogan,Male,Irish,Descendant Of The Young Warrior,#Celebrity|#Sports|#Surname
Holbrook,holbrook,Male,English,Dweller By The Brook In A Hollow,#Celebrity|#Place|#Surname
Holiday,holiday,Female,English,Born On A Holy Day,#Surname
Hollace,hollace,Neutral,English,Near The Holly,#Surname
Holland,holland,Neutral,American,Land On The Ridge,#Place|#Surname
Holloway,holloway,Neutral,English,Holy Spring,#Surname
Holmes,holmes,Neutral,English,Lives Near Small Island Or Islet,#Literary|#Surname
Holt,holt,Male,English,Woodland|Forest,#Nature|#Surname
Holton,holton,Neutral,American,Unknown,#Surname
Hood,hood,Neutral,Scottish,Hood Maker,#Surname
Hooper,hooper,Neutral,English,Occupational Name,#Occupational|#Surname
Hopkins,hopkins,Neutral,English,Family Of Hob/Robert,#Surname
Hopper,hopper,Neutral,American,One Who Hops,#Surname
Horn,horn,Neutral,English,Horn Player Or Maker,#Surname
Horton,horton,Male,English,From The Farm On Muddy Soil,#Literary|#Surname
House,house,Neutral,English,Domicile,#Surname
Houston,houston,Male,English,From Hugh's Town,#Celebrity|#Place|#Surname
Howard,howard,Male,English,Heart Brave,#Sports|#Surname
Howe,howe,Male,English,From The Hill|Burial Ground.,#Surname
Howell,howell,Male,Welsh,Eminent,#Place|#Surname
Hoyt,hoyt,Male,English,Stick (Skinny),#Surname
Hubbard,hubbard,Male,English,Bright Heart,#Surname
Hubble,hubble,Neutral,English,Hug|Brave,#Science|#Surname
Hudson,hudson,Male,English,Son Of Hudd,#Celebrity|#Surname
Huerta,huerta,Neutral,Spanish,Hilltop Or Fortress,#Surname
Huff,huff,Neutral,English,Lives By A Ridge Or Hollow,#Surname
Huffman,huffman,Neutral,German,Man/Steward Of A Farm,#Surname
Hughes,hughes,Male,English,Family Of Hugh,#Surname
Hull,hull,Neutral,English,Bright In Mind And Spirit,#Surname
Humphrey,humphrey,Male,English,Peaceful Warrior,#Place|#Politician|#Surname
Hunt,hunt,Neutral,English,Chase Or Hunter,#Surname
Hunter,hunter,Neutral,English,One Who Hunts,#Occupational|#Surname
Hurley,hurley,Male,English,The Village On Cleared Land,#Surname
Hurst,hurst,Neutral,English,Wooded Hill,#Surname
Hussein,hussein,Male,Arabic,Beautiful/Handsome|Good,#Politician|#Surname
Hutchinson,hutchinson,Neutral,English,Son Of Hugh,#Surname
Huxley,huxley,Male,English,From Hoc's Field,#Surname
Iden,iden,Neutral,English,From The Marsh Land Pasture,#Surname
Ingram,ingram,Neutral,German,English People,#Surname
Irwin,irwin,Male,American,From Irvine|Scotland,#Celebrity|#Place|#Surname
Isley,isley,Neutral,English,From The Hazel Grove,#Place|#Surname
Ives,ives,Neutral,English,Land Of Heroes,#Surname
Izod,izod,Neutral,French,Hardy|Strong,#Brand|#Surname
Jace,jace,Male,American,Nickname,#FictionalCharacter|#Sports|#Surname
Jackson,jackson,Male,English,Son Of Jack/John,#FictionalCharacter|#Place|#Politician|#Surname
Jaegar,jaegar,Male,German,Hunter,#Surname
Jagger,jagger,Male,English,Carter|Peddlar,#Celebrity|#Occupational|#Surname
Jaivan,jaivan,Female,Arabic,Unknown,#Surname
James,james,Neutral,Hebrew,Supplanter,#Biblical|#Celebrity|#FictionalCharacter|#Royal|#Surname
Jarrett,jarrett,Male,English,Spear Brave,#Surname
Jarvis,jarvis,Male,English,Spear Man,#Surname
Jasper,jasper,Male,English,Treasurer,#Biblical|#FictionalCharacter|#Surname
Jaxon,jaxon,Male,American,Son Of Jack,#FictionalCharacter|#Surname
Jefferson,jefferson,Male,English,Son Of Jeffrey,#Surname
Jenkins,jenkins,Male,English,Son Of John,#Surname
Jennings,jennings,Neutral,English,Family Of (Little) John,#Surname
Jensen,jensen,Male,Scandinavian,Son Of Jens,#Surname
Jerod,jerod,Male,English,Spear Brave,#Surname
Jerrell,jerrell,Male,English,Spear Rule,#Surname
Jerrod,jerrod,Male,English,Form Of Gerard,#Surname
Jeter,jeter,Neutral,French,To Throw,#Surname
Jimenez,jimenez,Male,Spanish,Son Of Jim/James,#Surname
Johnson,johnson,Male,English,Son Of John,#Surname
Jonas,jonas,Male,Hebrew,A Dove,#Biblical|#Celebrity|#Surname
Jones,jones,Male,English,Son Of John,#Surname
Joplin,joplin,Female,American,Unknown,#Place|#Surname
Jordan,jordan,Neutral,Hebrew,To Flow Down,#Biblical|#Place|#Sports|#Surname
Jory,jory,Neutral,English - Cornish,Farmer,#Surname
Joseph,joseph,Male,Hebrew,God Will Increase,#Biblical|#Celebrity|#Politician|#Surname
Juarez,juarez,Neutral,Spanish,Son Of Suero,#Surname
Judson,judson,Male,English,Son Of Judd,#Surname
Juneau,juneau,Neutral,French,Young,#Place|#Surname
Kaja,kaja,Female,Scandinavian,Pure,#Politician|#Surname
Kamber,kamber,Neutral,English,From Cambria (Wales),#Surname
Kane,kane,Male,Irish,Battlefield,#Surname
Kantana,kantana,Neutral,American,Unknown,#Surname
Karima,karima,Female,Arabic,Royal,#Surname
Karman,karman,Male,English,Man,#Surname
Kasabian,kasabian,Male,Armenian,Son Of The Butcher,#Surname
Katz,katz,Neutral,German,Priest Of Righteousness,#Surname
Kaur,kaur,Female,Indian,Princess,#Surname
Keats,keats,Neutral,English,Shed Worker,#Literary|#Surname
Keebler,keebler,Neutral,German,Property Owner,#Brand|#Surname
Keith,keith,Male,Scottish,Offspring|Young Person,#Surname
Kelby,kelby,Neutral,English,From The Ridge Farm,#Surname
Keller,keller,Neutral,German,Winemaker,#Surname
Kelley,kelley,Neutral,Irish,Bright-headed/redheaded,#Surname
Kelly,kelly,Neutral,Irish,Bright-headed,#Celebrity|#Color|#Surname
Kelsey,kelsey,Neutral,English,From Cenel's Island,#Surname
Keltie,keltie,Neutral,Scottish,Place Name,#Surname
Kelton,kelton,Male,English,From The Calf Farm,#Surname
Kemp,kemp,Male,English,Fighter|Champion.,#Surname
Kendrick,kendrick,Male,English,Bold Ruler,#Surname
Kenley,kenley,Neutral,English,Royal Meadow,#Surname
Kennedy,kennedy,Neutral,Irish,Misshapen Head,#Celebrity|#Politician|#Surname
Kent,kent,Male,English,High Or Coastal Land,#FictionalCharacter|#Surname
Kerouac,kerouac,Neutral,French,Enclosure Of Soft Soil,#Literary|#Surname
Kerr,kerr,Neutral,Scottish,From The Rough Ground,#Surname
Khan,khan,Male,Indian,Ruler|King,#FictionalCharacter|#Royal|#Surname
Kiefer,kiefer,Male,German,Barrel Maker Or Pine Tree,#Celebrity|#Occupational|#Surname
Kilmer,kilmer,Neutral,English,Kiln Worker,#Surname
Kim,kim,Neutral,English,Short Form Of Kimberly Or Kimball,#Surname
Kimberly,kimberly,Neutral,English,From The Meadow Of The Royal Fortress,#Surname
Kincaid,kincaid,Neutral,Scottish,From Kincaith,#Place|#Surname
King,king,Male,American,Ruler,#Royal|#Surname
Kingston,kingston,Male,English,From The King's Town,#Celebrity|#Place|#Surname
Kiral,kiral,Neutral,Turkish,Supreme Chief,#Surname
Kirby,kirby,Neutral,English,From The Village With The Church,#Surname
Kirk,kirk,Male,Scandinavian,Church,#Surname
Kish,kish,Neutral,English,Leather Worker,#Occupational|#Surname
Kitson,kitson,Male,English,Son Of Kitt Or Son Of Christopher,#Surname
Knight,knight,Neutral,English,Warrior,#Surname
Knox,knox,Male,English,From The Small Hill,#Surname
Kramer,kramer,Male,German,Traveling Merchant,#Surname
Kyler,kyler,Neutral,German,Church|Monk's Cell,#Surname
Kynton,kynton,Male,English,From The Royal Manor,#Surname
Kyson,kyson,Male,English,Son Of Ky,#Surname
Lacey,lacey,Female,English,From Lassey|France.,#Surname
Lafayette,lafayette,Neutral,French,From The Land Of The Beech Tree,#Place|#Surname
Laine,laine,Female,English,Dweller In A Lane,#Surname
Lainer,lainer,Neutral,French,Wool Seller,#Surname
Lam,lam,Male,Vietnamese,Forest,#Surname
Lambert,lambert,Male,Dutch,Bright Land,#Celebrity|#Surname
Landis,landis,Male,American,Highwayman,#Surname
Landon,landon,Male,English,From The Long Hill,#Celebrity|#FictionalCharacter|#Surname
Landry,landry,Neutral,English,Land Rler,#Surname
Lane,lane,Neutral,English,From The Lane,#Surname
Lang,lang,Male,German,Tall Person,#Surname
Lanier,lanier,Neutral,French,Wool Seller,#Surname
Lanza,lanza,Neutral,Spanish,Lancer,#Surname
Lara,lara,Female,Russian,Cheerful,#Surname
Larson,larson,Neutral,Scandinavian,Son Of Lars,#Surname
Larue,larue,Neutral,French,Dweller By The Road,#Surname
